"","Sample_ID","gene","value","Target","Group"
"1","SAMEA8235350","CFTR",7.19892327034041,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"2","SAMEA8235350","GGT",5.82046375214452,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"3","SAMEA8235350","SOX9",7.32008443247117,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"4","SAMEA8235350","KRT7",6.79254028630106,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"5","SAMEA8235350","KRT19",9.01169995004767,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"6","SAMEA8235350","HNF1B",5.64804499331859,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"7","SAMEA8235351","CFTR",7.4851229458967,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"8","SAMEA8235351","GGT",5.76102987939317,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"9","SAMEA8235351","SOX9",7.5317922548317,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"10","SAMEA8235351","KRT7",6.74195624014221,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"11","SAMEA8235351","KRT19",8.49738107078555,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"12","SAMEA8235351","HNF1B",5.99608405533233,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"13","SAMEA8235352","CFTR",7.0688577846942,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"14","SAMEA8235352","GGT",6.21637741468476,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"15","SAMEA8235352","SOX9",7.67794216078628,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"16","SAMEA8235352","KRT7",8.34028591930212,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"17","SAMEA8235352","KRT19",10.2310069614299,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"18","SAMEA8235352","HNF1B",6.39350930347458,"atop(atop(textstyle('Prim'),textstyle('CBD')))","General
CO"
"19","SAMEA8235357","CFTR",6.53080171828778,NA,"General
CO"
"20","SAMEA8235357","GGT",6.63512415025006,NA,"General
CO"
"21","SAMEA8235357","SOX9",7.10801297352417,NA,"General
CO"
"22","SAMEA8235357","KRT7",8.57463812812411,NA,"General
CO"
"23","SAMEA8235357","KRT19",10.4789597066459,NA,"General
CO"
"24","SAMEA8235357","HNF1B",5.31889897044109,NA,"General
CO"
"25","SAMEA8235358","CFTR",7.09203281507301,NA,"General
CO"
"26","SAMEA8235358","GGT",6.22814205529066,NA,"General
CO"
"27","SAMEA8235358","SOX9",7.31051443979203,NA,"General
CO"
"28","SAMEA8235358","KRT7",7.93211780934261,NA,"General
CO"
"29","SAMEA8235358","KRT19",8.99558230855216,NA,"General
CO"
"30","SAMEA8235358","HNF1B",6.0160867686191,NA,"General
CO"
"31","SAMEA8235359","CFTR",6.52506901802534,NA,"General
CO"
"32","SAMEA8235359","GGT",6.29592506840702,NA,"General
CO"
"33","SAMEA8235359","SOX9",6.65728846656054,NA,"General
CO"
"34","SAMEA8235359","KRT7",7.53741948866143,NA,"General
CO"
"35","SAMEA8235359","KRT19",9.13508796244562,NA,"General
CO"
"36","SAMEA8235359","HNF1B",5.74378458324839,NA,"General
CO"
"37","SAMEA8235364","CFTR",8.02874927731781,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"38","SAMEA8235364","GGT",5.34631980270723,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"39","SAMEA8235364","SOX9",7.73936485407649,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"40","SAMEA8235364","KRT7",8.72830213415057,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"41","SAMEA8235364","KRT19",8.14195739051556,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"42","SAMEA8235364","HNF1B",6.00129954257499,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"43","SAMEA8235365","CFTR",7.85124957952123,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"44","SAMEA8235365","GGT",7.57397932126059,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"45","SAMEA8235365","SOX9",8.9322205603745,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
"46","SAMEA8235365","KRT7",9.21180348165607,"atop(atop(textstyle('Prim'),textstyle('IHD')))","General
CO"
