,logFC,AveExpr,t,P.Value,adj.P.Val,B
CXCL9,1.724526487,8.871338391,6.099788385,4.32E-07,0.000561555,6.105166654
IL2RB,-0.911237449,9.41959865,-5.470628374,3.12E-06,0.002028277,4.467654639
KRT8,1.331291631,8.970936556,5.003039674,1.35E-05,0.00577187,3.062680798
IGHG1,-5.179489822,10.85149548,-4.91393437,1.77E-05,0.00577187,2.879221559
IGHG3,-4.194007504,11.88338626,-4.724956078,3.18E-05,0.008285019,2.273258798
IGHG4,-4.678757718,11.7465628,-4.591779247,4.80E-05,0.010397718,1.916473973
LAP3,0.791131977,9.031487723,4.447089018,7.46E-05,0.013866966,1.551075223
ATP1B1,0.567176625,9.747262422,4.245724427,0.000137262,0.022322309,0.9977633
LSP1,-0.444682739,10.80505168,-4.164748712,0.000175029,0.024395746,0.667666319
TNFSF10,0.87861599,8.484407343,4.141711706,0.000187515,0.024395746,0.707459886
ARHGAP9,-0.643515067,8.457832647,-3.990319936,0.000294098,0.034783759,0.324688676
PRMT8,0.399806014,13.29661968,3.735302516,0.000620048,0.06722352,-0.746860418
FAM13B,0.705558498,8.313391349,3.625942546,0.000849265,0.084991815,-0.603897545
RPS2,-0.419262272,10.88787338,-3.556410439,0.00103543,0.096221,-1.001327254
B2M,-0.351231678,13.14641775,-3.511512057,0.00117588,0.101530301,-1.335000598
MARCKSL1,0.711956294,8.613640412,3.453737478,0.001383703,0.101530301,-1.026067524
HLA-DQB1,-0.82004039,9.474033859,-3.43165883,0.001472075,0.101530301,-1.16720808
MT2A,-0.506594172,9.481535038,-3.426897711,0.001491828,0.101530301,-1.160978557
RPL18,-0.318427556,10.97969753,-3.406677491,0.001578584,0.101530301,-1.411297961
PHAX,0.381779368,10.54456136,3.398918729,0.001613138,0.101530301,-1.366745096
RPS14,-0.362595425,10.59032831,-3.393249384,0.001638844,0.101530301,-1.393009562
THBS1,-0.763044408,8.871196893,-3.375940585,0.001719772,0.101701068,-1.240040091
CAMK2N1,0.536835144,9.197372445,3.283204441,0.002222612,0.125722515,-1.474754626
EEF1B2,-0.641670924,8.883397731,-3.258341946,0.002379601,0.128994206,-1.525547116
TYMP,0.761182709,8.731738468,3.167636652,0.003046554,0.153569821,-1.710394019
VIM,0.292425231,12.24992092,3.164920157,0.003069036,0.153569821,-2.150551914
ZNF845,0.704948068,8.33976636,3.112022929,0.003539442,0.170548673,-1.824706156
STMN1,-0.471289856,9.106050299,-3.050845345,0.00416842,0.193682666,-2.036413682
H2AC8,-0.697930355,9.292565371,-2.99265857,0.004863294,0.218177433,-2.194670528
RPL13,-0.300888686,11.06402273,-2.953028282,0.005397458,0.234069771,-2.548662612
CXADR,0.54064016,8.378211247,2.897342564,0.006241634,0.250568508,-2.304729771
SRGN,-0.515588164,9.206845253,-2.896233217,0.006259645,0.250568508,-2.401148418
DEK,-0.527863855,9.009110981,-2.886955348,0.00641219,0.250568508,-2.395696839
RPS28,-0.285387513,10.91072961,-2.878850255,0.006548293,0.250568508,-2.701292585
SSR4,-0.582810339,9.023528121,-2.856342812,0.006940543,0.257989904,-2.467147566
RPS11,-0.318101411,10.67755466,-2.807916747,0.007860039,0.279705462,-2.840277892
HLA-DRB1,-0.52386369,10.74763198,-2.803234033,0.007954729,0.279705462,-2.858238365
ACTN4,0.337464923,10.31809253,2.783949239,0.008355993,0.286082826,-2.84116129
LAG3,-0.470071142,8.860753613,-2.767847907,0.008705359,0.286883628,-2.66736933
PLEC,0.322181076,10.38451711,2.758879638,0.00890579,0.286883628,-2.892546497
PRDX2,0.398978219,9.763342582,2.752656087,0.009047391,0.286883628,-2.81096877
SIGIRR,0.598234045,8.457478779,2.743418577,0.009261424,0.286883628,-2.647887307
S100A6,0.312900528,11.28550317,2.707516872,0.010138653,0.295971761,-3.145863789
ITGAL,-0.444386263,9.650185861,-2.704250926,0.010222159,0.295971761,-2.911661733
ANTXR2,0.654967074,8.243014212,2.703661362,0.010237301,0.295971761,-2.716993366
TRBC1,-0.252033445,11.85794258,-2.690136673,0.010590416,0.299524585,-3.249058442
