Name,CellTypes,Count,Condition
AB04,naive.B.cell,0,DKO
AB04,precursor.B.cell,36.66053273,DKO
AB04,pro.B.cell,24.93358358,DKO
AB04,cytotoxic.T.cell.type.2,18.7549565,DKO
AB04,CD4+.naive.T.cell,0,DKO
AB04,T.helper.cell,0,DKO
AB04,naive.CD8+.T.cell,0,DKO
AB04,memory.B.cell,0,DKO
AB04,cytotoxic.T.cell.type.1,0,DKO
AB06,naive.B.cell,0,DKO
AB06,precursor.B.cell,54.51087099,DKO
AB06,pro.B.cell,62.02082935,DKO
AB06,cytotoxic.T.cell.type.2,30.8318395,DKO
AB06,CD4+.naive.T.cell,0,DKO
AB06,T.helper.cell,0,DKO
AB06,naive.CD8+.T.cell,0,DKO
AB06,memory.B.cell,0,DKO
AB06,cytotoxic.T.cell.type.1,0,DKO
AB08,naive.B.cell,0,DKO
AB08,precursor.B.cell,37.38348882,DKO
AB08,pro.B.cell,36.62470551,DKO
AB08,cytotoxic.T.cell.type.2,21.53726102,DKO
AB08,CD4+.naive.T.cell,0,DKO
AB08,T.helper.cell,0,DKO
AB08,naive.CD8+.T.cell,0,DKO
AB08,memory.B.cell,0,DKO
AB08,cytotoxic.T.cell.type.1,0,DKO
AB10,naive.B.cell,0,DKO
AB10,precursor.B.cell,128.7500604,DKO
AB10,pro.B.cell,71.31338598,DKO
AB10,cytotoxic.T.cell.type.2,54.43200999,DKO
AB10,CD4+.naive.T.cell,0,DKO
AB10,T.helper.cell,0,DKO
AB10,naive.CD8+.T.cell,0,DKO
AB10,memory.B.cell,0,DKO
AB10,cytotoxic.T.cell.type.1,0,DKO
AB12,naive.B.cell,0,DKO
AB12,precursor.B.cell,28.15705484,DKO
AB12,pro.B.cell,18.64378367,DKO
AB12,cytotoxic.T.cell.type.2,13.56802159,DKO
AB12,CD4+.naive.T.cell,0,DKO
AB12,T.helper.cell,0,DKO
AB12,naive.CD8+.T.cell,0,DKO
AB12,memory.B.cell,0,DKO
AB12,cytotoxic.T.cell.type.1,0,DKO
AC02,naive.B.cell,0,DKO
AC02,precursor.B.cell,58.92072515,DKO
AC02,pro.B.cell,35.98321153,DKO
AC02,cytotoxic.T.cell.type.2,30.00094335,DKO
AC02,CD4+.naive.T.cell,0,DKO
AC02,T.helper.cell,0,DKO
AC02,naive.CD8+.T.cell,0,DKO
AC02,memory.B.cell,0,DKO
AC02,cytotoxic.T.cell.type.1,0,DKO
AC04,naive.B.cell,0,DKO
AC04,precursor.B.cell,66.64299984,DKO
AC04,pro.B.cell,49.3431086,DKO
AC04,cytotoxic.T.cell.type.2,38.95721227,DKO
AC04,CD4+.naive.T.cell,0,DKO
AC04,T.helper.cell,0,DKO
AC04,naive.CD8+.T.cell,0,DKO
AC04,memory.B.cell,0,DKO
AC04,cytotoxic.T.cell.type.1,0,DKO
AC06,naive.B.cell,0,DKO
AC06,precursor.B.cell,64.68975381,DKO
AC06,pro.B.cell,49.51560884,DKO
AC06,cytotoxic.T.cell.type.2,31.98309689,DKO
AC06,CD4+.naive.T.cell,0,DKO
AC06,T.helper.cell,0,DKO
AC06,naive.CD8+.T.cell,0,DKO
AC06,memory.B.cell,0,DKO
AC06,cytotoxic.T.cell.type.1,0,DKO
AC08,naive.B.cell,0,DKO
AC08,precursor.B.cell,28.78846028,DKO
AC08,pro.B.cell,37.71566098,DKO
AC08,cytotoxic.T.cell.type.2,20.16575827,DKO
AC08,CD4+.naive.T.cell,0,DKO
AC08,T.helper.cell,0,DKO
AC08,naive.CD8+.T.cell,0,DKO
AC08,memory.B.cell,0,DKO
AC08,cytotoxic.T.cell.type.1,0,DKO
AC10,naive.B.cell,0,DKO
AC10,precursor.B.cell,33.51131462,DKO
AC10,pro.B.cell,27.1925776,DKO
AC10,cytotoxic.T.cell.type.2,22.63343522,DKO
AC10,CD4+.naive.T.cell,0,DKO
AC10,T.helper.cell,0,DKO
AC10,naive.CD8+.T.cell,0,DKO
AC10,memory.B.cell,0,DKO
AC10,cytotoxic.T.cell.type.1,0,DKO
AC12,naive.B.cell,0,DKO
AC12,precursor.B.cell,54.3801291,DKO
AC12,pro.B.cell,66.06775761,DKO
AC12,cytotoxic.T.cell.type.2,40.2218511,DKO
AC12,CD4+.naive.T.cell,0,DKO
AC12,T.helper.cell,0,DKO
AC12,naive.CD8+.T.cell,0,DKO
AC12,memory.B.cell,0,DKO
AC12,cytotoxic.T.cell.type.1,0,DKO
AD02,naive.B.cell,0,DKO
AD02,precursor.B.cell,62.12398046,DKO
AD02,pro.B.cell,35.59169057,DKO
AD02,cytotoxic.T.cell.type.2,32.31392204,DKO
AD02,CD4+.naive.T.cell,0,DKO
AD02,T.helper.cell,0,DKO
AD02,naive.CD8+.T.cell,0,DKO
AD02,memory.B.cell,0,DKO
AD02,cytotoxic.T.cell.type.1,0,DKO
AD04,naive.B.cell,0,WT
AD04,precursor.B.cell,199.3709671,WT
AD04,pro.B.cell,191.0734051,WT
AD04,cytotoxic.T.cell.type.2,84.23129082,WT
AD04,CD4+.naive.T.cell,0,WT
AD04,T.helper.cell,0,WT
AD04,naive.CD8+.T.cell,0,WT
AD04,memory.B.cell,0,WT
AD04,cytotoxic.T.cell.type.1,0,WT
AD06,naive.B.cell,0,WT
AD06,precursor.B.cell,280.4859782,WT
AD06,pro.B.cell,52.93237253,WT
AD06,cytotoxic.T.cell.type.2,77.04570822,WT
AD06,CD4+.naive.T.cell,0,WT
AD06,T.helper.cell,0,WT
AD06,naive.CD8+.T.cell,0,WT
AD06,memory.B.cell,0,WT
AD06,cytotoxic.T.cell.type.1,0,WT
AD08,naive.B.cell,0,WT
AD08,precursor.B.cell,220.2662648,WT
AD08,pro.B.cell,61.00902268,WT
AD08,cytotoxic.T.cell.type.2,65.07915794,WT
AD08,CD4+.naive.T.cell,0,WT
AD08,T.helper.cell,0,WT
AD08,naive.CD8+.T.cell,0,WT
AD08,memory.B.cell,0,WT
AD08,cytotoxic.T.cell.type.1,0,WT
