Region,CellTypes,Count,Condition
AB04,Others,16.04586466,DKO
AB04,Monocytes,1.66495225,DKO
AB04,DCs,0.84364153,DKO
AB04,B cells,0.158436032,DKO
AB04,CD8 Naive,7.952753753,DKO
AB04,CD8 Central,21.55296007,DKO
AB04,Tregs,0,DKO
AB04,CD4 Naive,8.932858294,DKO
AB04,CD4 Central,21.52218167,DKO
AB04,CD4/8 Effector,3.491634891,DKO
AB06,Others,28.49089717,DKO
AB06,Monocytes,4.265770351,DKO
AB06,DCs,2.128963837,DKO
AB06,B cells,0.368089589,DKO
AB06,CD8 Naive,18.25143645,DKO
AB06,CD8 Central,33.62117577,DKO
AB06,Tregs,0,DKO
AB06,CD4 Naive,1.33594035,DKO
AB06,CD4 Central,45.84045079,DKO
AB06,CD4/8 Effector,7.252431062,DKO
AB08,Others,22.28341186,DKO
AB08,Monocytes,1.343353533,DKO
AB08,DCs,0,DKO
AB08,B cells,0,DKO
AB08,CD8 Naive,0.439725365,DKO
AB08,CD8 Central,20.64686907,DKO
AB08,Tregs,0,DKO
AB08,CD4 Naive,27.805166,DKO
AB08,CD4 Central,17.55134034,DKO
AB08,CD4/8 Effector,8.651409822,DKO
AB10,Others,58.4201264,DKO
AB10,Monocytes,7.079123185,DKO
AB10,DCs,3.620778714,DKO
AB10,B cells,0,DKO
AB10,CD8 Naive,20.51382559,DKO
AB10,CD8 Central,58.96708522,DKO
AB10,Tregs,0,DKO
AB10,CD4 Naive,38.52360416,DKO
AB10,CD4 Central,64.91923119,DKO
AB10,CD4/8 Effector,17.97774562,DKO
AB12,Others,12.50105082,DKO
AB12,Monocytes,1.715365253,DKO
AB12,DCs,0.734538728,DKO
AB12,B cells,0,DKO
AB12,CD8 Naive,6.905130319,DKO
AB12,CD8 Central,15.7755049,DKO
AB12,Tregs,0,DKO
AB12,CD4 Naive,4.213474839,DKO
AB12,CD4 Central,17.19078996,DKO
AB12,CD4/8 Effector,2.706059048,DKO
AC02,Others,23.51951723,DKO
AC02,Monocytes,3.403973785,DKO
AC02,DCs,2.103978495,DKO
AC02,B cells,0,DKO
AC02,CD8 Naive,20.58258699,DKO
AC02,CD8 Central,37.51625093,DKO
AC02,Tregs,0,DKO
AC02,CD4 Naive,3.207381957,DKO
AC02,CD4 Central,34.9577748,DKO
AC02,CD4/8 Effector,2.942021798,DKO
AC04,Others,31.49962911,DKO
AC04,Monocytes,2.89709887,DKO
AC04,DCs,0,DKO
AC04,B cells,3.302776026,DKO
AC04,CD8 Naive,9.044746947,DKO
AC04,CD8 Central,38.72456163,DKO
AC04,Tregs,3.703699727,DKO
AC04,CD4 Naive,16.66800503,DKO
AC04,CD4 Central,43.53564111,DKO
AC04,CD4/8 Effector,12.16231952,DKO
AC06,Others,30.88089281,DKO
AC06,Monocytes,2.852341082,DKO
AC06,DCs,0.059617575,DKO
AC06,B cells,3.935812341,DKO
AC06,CD8 Naive,0,DKO
AC06,CD8 Central,31.87484143,DKO
AC06,Tregs,0,DKO
AC06,CD4 Naive,19.31129168,DKO
AC06,CD4 Central,44.97810097,DKO
AC06,CD4/8 Effector,8.184619646,DKO
AC08,Others,18.43843968,DKO
AC08,Monocytes,0.945971953,DKO
AC08,DCs,0.879378473,DKO
AC08,B cells,0,DKO
AC08,CD8 Naive,0,DKO
AC08,CD8 Central,24.05485616,DKO
AC08,Tregs,0,DKO
AC08,CD4 Naive,19.98579418,DKO
AC08,CD4 Central,19.65312887,DKO
AC08,CD4/8 Effector,3.982033621,DKO
AC10,Others,14.46614434,DKO
AC10,Monocytes,1.836190298,DKO
AC10,DCs,0,DKO
AC10,B cells,0,DKO
AC10,CD8 Naive,0.065228946,DKO
AC10,CD8 Central,22.60340184,DKO
AC10,Tregs,0,DKO
AC10,CD4 Naive,17.30949351,DKO
AC10,CD4 Central,24.60745599,DKO
AC10,CD4/8 Effector,6.104541934,DKO
AC12,Others,34.64253781,DKO
AC12,Monocytes,3.622746105,DKO
AC12,DCs,1.711891268,DKO
AC12,B cells,0.002233659,DKO
