,ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0002449,BP,GO:0002449,lymphocyte mediated immunity,48,-0.742619323,-2.463883041,5.33E-07,0.001401368,0.001369977,145,"tags=38%, list=11%, signal=35%",CD74/TRBC1/CD96/PRF1/TUBB/HLA-DPB1/KLRK1/CD8A/B2M/CTSC/LAG3/HLA-DPA1/HSPD1/HLA-DRB1/HLA-DQB1/IGHG3/IGHG4/IGHG1
GO:0002460,BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,44,-0.744016581,-2.433090131,1.45E-06,0.001691639,0.001653745,63,"tags=23%, list=5%, signal=22%",CD8A/B2M/CTSC/HLA-DPA1/HSPD1/HLA-DRB1/HLA-DQB1/IGHG3/IGHG4/IGHG1
GO:0002684,BP,GO:0002684,positive regulation of immune system process,116,-0.564682559,-2.155493811,2.22E-06,0.001965345,0.001921321,164,"tags=25%, list=13%, signal=24%",FOXP1/IL7R/RPS3/CD74/TRBC1/PYHIN1/CCL5/ZFP36L1/HLA-DPB1/FYN/KLRK1/NONO/EVI2B/TOX/ID2/CD8A/B2M/CTSC/BTN3A1/CD247/LAG3/HLA-DPA1/HSPD1/HLA-DRB1/THBS1/HLA-DQB1/IGHG3/IGHG4/IGHG1
GO:0016064,BP,GO:0016064,immunoglobulin mediated immune response,22,-0.846603859,-2.437557652,3.00E-06,0.001988103,0.001943569,22,"tags=32%, list=2%, signal=32%",HLA-DPA1/HSPD1/HLA-DRB1/HLA-DQB1/IGHG3/IGHG4/IGHG1
GO:0002694,BP,GO:0002694,regulation of leukocyte activation,81,-0.61688991,-2.231065244,4.38E-06,0.002321419,0.002269419,165,"tags=30%, list=13%, signal=28%",IKZF3/IL7R/RPS3/CD74/TRBC1/CCL5/ZFP36L1/HLA-DPB1/FYN/KLRK1/TOX/ID2/CST7/B2M/CTSC/LAG3/HLA-DPA1/HSPD1/HLA-DRB1/THBS1/HLA-DQB1/IGHG3/IGHG4/IGHG1
GO:0010324,BP,GO:0010324,membrane invagination,16,-0.886377875,-2.400881458,7.32E-06,0.00280582,0.002742968,7,"tags=25%, list=1%, signal=25%",THBS1/IGHG3/IGHG4/IGHG1
GO:0045087,BP,GO:0045087,innate immune response,109,-0.562480697,-2.129763277,6.52E-06,0.00280582,0.002742968,145,"tags=22%, list=11%, signal=21%",CD74/TRBC1/BST2/CD96/PYHIN1/TRIM51/CCL5/CYLD/CARD8/TUBB/HLA-DPB1/FYN/ADAR/KLRK1/NONO/GSDMD/JAK1/PTPN1/SLA/LAG3/HLA-DPA1/IGHG3/IGHG4/IGHG1
GO:0050778,BP,GO:0050778,positive regulation of immune response,73,-0.631601945,-2.249422095,8.59E-06,0.003037246,0.00296921,164,"tags=29%, list=13%, signal=27%",FOXP1/RPS3/CD74/TRBC1/PYHIN1/CCL5/HLA-DPB1/FYN/KLRK1/NONO/CD8A/B2M/BTN3A1/CD247/LAG3/HSPD1/HLA-DRB1/HLA-DQB1/IGHG3/IGHG4/IGHG1
GO:0046649,BP,GO:0046649,lymphocyte activation,122,-0.528572102,-2.034270088,9.34E-06,0.003056166,0.002987707,165,"tags=24%, list=13%, signal=23%",IKZF3/FOXP1/IL7R/RPS3/CD74/TRBC1/BST2/PRF1/CCL5/ZFP36L1/RBPJ/HLA-DPB1/FYN/KLRK1/TOX/ID2/CD8A/B2M/BTN3A1/ITGAL/LAG3/HLA-DPA1/HSPD1/HLA-DRB1/HLA-DQB1/IL2RB/IGHG3/IGHG4/IGHG1
GO:0006911,BP,GO:0006911,"phagocytosis, engulfment",14,-0.896577777,-2.350225857,1.21E-05,0.003381577,0.003305829,7,"tags=29%, list=1%, signal=29%",THBS1/IGHG3/IGHG4/IGHG1
GO:0006909,BP,GO:0006909,phagocytosis,38,-0.759635592,-2.423617196,1.41E-05,0.003430711,0.003353862,34,"tags=16%, list=3%, signal=16%",ITGAL/THBS1/IL2RB/IGHG3/IGHG4/IGHG1
GO:0014823,BP,GO:0014823,response to activity,6,0.929190122,1.979329526,2.93E-05,0.004570114,0.004467741,17,"tags=50%, list=1%, signal=50%",LAP3/TYMP/SOD2
GO:0008037,BP,GO:0008037,cell recognition,21,-0.833410887,-2.38227239,3.43E-05,0.005051074,0.004937928,4,"tags=29%, list=0%, signal=29%",TRBC1/PRF1/B4GALT1/IGHG3/IGHG4/IGHG1
