"","gene","Sample_ID","value","Group","Target"
"3","CFTR","Line 2",3.94666550546788,"General
CO","PCO"
"6","GGT1","Line 2",3.50466914403895,"General
CO","PCO"
"9","HNF1B","Line 2",3.15571306977973,"General
CO","PCO"
"11","KRT19","Line 2",5.40082583442669,"General
CO","PCO"
"12","KRT7","Line 2",4.68111155929483,"General
CO","PCO"
"19","SOX9","Line 2",4.55019397958619,"General
CO","PCO"
"26","CFTR","Line 1",4.40691167580965,"General
CO","ePCO"
"29","GGT1","Line 1",3.40918843697174,"General
CO","ePCO"
"32","HNF1B","Line 1",3.30659230949929,"General
CO","ePCO"
"34","KRT19","Line 1",5.36867371350709,"General
CO","ePCO"
"35","KRT7","Line 1",4.7039176231422,"General
CO","ePCO"
"42","SOX9","Line 1",4.51754018523809,"General
CO","ePCO"
"49","CFTR","Line 3",4.08549812148241,"General
CO","ePCO"
"52","GGT1","Line 3",3.6617382761517,"General
CO","ePCO"
"55","HNF1B","Line 3",3.13714811670839,"General
CO","ePCO"
"57","KRT19","Line 3",5.54952795919144,"General
CO","ePCO"
"58","KRT7","Line 3",4.85971366175109,"General
CO","ePCO"
"65","SOX9","Line 3",4.38631549590846,"General
CO","ePCO"
"72","CFTR","Line 1",4.02653746024543,"General
CO","PCO"
"75","GGT1","Line 1",3.88847316922784,"General
CO","PCO"
"78","HNF1B","Line 1",3.23129916595106,"General
CO","PCO"
"80","KRT19","Line 1",5.40512275047231,"General
CO","PCO"
"81","KRT7","Line 1",4.6350916947833,"General
CO","PCO"
"88","SOX9","Line 1",4.47203492268945,"General
CO","PCO"
"95","CFTR","Line 2",4.54608198405141,"General
CO","ePCO"
"98","GGT1","Line 2",3.730659421466,"General
CO","ePCO"
"101","HNF1B","Line 2",2.81021462924972,"General
CO","ePCO"
"103","KRT19","Line 2",5.32042123125706,"General
CO","ePCO"
"104","KRT7","Line 2",4.64579422789528,"General
CO","ePCO"
"111","SOX9","Line 2",4.54337233801165,"General
CO","ePCO"
"118","CFTR","Line 3",4.62671590751143,"General
CO","PCO"
"121","GGT1","Line 3",3.57842739480542,"General
CO","PCO"
"124","HNF1B","Line 3",2.57738992453879,"General
CO","PCO"
"126","KRT19","Line 3",4.97600903104067,"General
CO","PCO"
"127","KRT7","Line 3",4.22014049568539,"General
CO","PCO"
"134","SOX9","Line 3",4.50571029273691,"General
CO","PCO"
