"","variable","gene","value","Scan Name","Target","Sample_ID","Group"
"7","DSP1001660035014AA02.dcc","DCDC2",8.79769959212792,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"8","DSP1001660035014AA02.dcc","PKHD1",8.98885082380389,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"9","DSP1001660035014AA02.dcc","HES4",6.73946792089278,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"10","DSP1001660035014AA02.dcc","BICC1",7.93315011418464,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"11","DSP1001660035014AA02.dcc","JAG1",8.03123516842545,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"12","DSP1001660035014AA02.dcc","SOX4",8.44118398285421,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"13","DSP1001660035014AA02.dcc","TACSTD2",8.31704270491324,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"14","DSP1001660035014AA02.dcc","HES1",7.08224973266116,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"15","DSP1001660035014AA02.dcc","TFF2",6.17916657334261,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"16","DSP1001660035014AA02.dcc","TFF3",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"17","DSP1001660035014AA02.dcc","TFF1",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"18","DSP1001660035014AA02.dcc","AQP5",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"19","DSP1001660035014AA02.dcc","FGF19",5.45302617805842,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"20","DSP1001660035014AA02.dcc","SLC15A1",6.8864877907776,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"21","DSP1001660035014AA02.dcc","MUC13",6.48634861979583,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"22","DSP1001660035014AA02.dcc","SLC13A1",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"23","DSP1001660035014AA02.dcc","SOX17",5.93072901759731,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"30","DSP1001660035014AA03.dcc","DCDC2",8.44769327761588,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"31","DSP1001660035014AA03.dcc","PKHD1",9.00099214953928,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"32","DSP1001660035014AA03.dcc","HES4",6.83072840761108,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"33","DSP1001660035014AA03.dcc","BICC1",8.07383643858659,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"34","DSP1001660035014AA03.dcc","JAG1",7.67891888989687,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"35","DSP1001660035014AA03.dcc","SOX4",8.69233779393849,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"36","DSP1001660035014AA03.dcc","TACSTD2",8.19089019842218,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"37","DSP1001660035014AA03.dcc","HES1",6.73116162125214,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"38","DSP1001660035014AA03.dcc","TFF2",6.01096752832503,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"39","DSP1001660035014AA03.dcc","TFF3",6.73116162125214,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"40","DSP1001660035014AA03.dcc","TFF1",5.5081468028096,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"41","DSP1001660035014AA03.dcc","AQP5",5.92345663386228,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"42","DSP1001660035014AA03.dcc","FGF19",4.92263948427129,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"43","DSP1001660035014AA03.dcc","SLC15A1",7.13337358128648,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"44","DSP1001660035014AA03.dcc","MUC13",7.01135189641527,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"45","DSP1001660035014AA03.dcc","SLC13A1",5.0927461145141,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
