,logFC,AveExpr,t,P.Value,adj.P.Val,B
HLA-DRA,-5.259316587,7.350055231,-35.42201093,4.00E-44,2.47E-40,87.88323361
HLA-DRB1,-3.985537914,8.711086605,-34.97735421,8.70E-44,2.69E-40,88.38352174
HLA-DQA1,-4.955552766,6.633427893,-26.79442533,9.05E-37,1.87E-33,71.721979
HLA-DQB1,-3.799563174,7.128461734,-22.51698678,2.41E-32,3.73E-29,62.72102911
HLA-DPB1,-3.532230981,7.498298467,-22.4029671,3.22E-32,3.99E-29,62.64179099
B2M,-3.233580385,11.04107983,-18.95282861,3.97E-28,4.10E-25,53.73061596
HLA-DPA1,-4.147625314,6.816166821,-18.74027681,7.38E-28,6.53E-25,52.75866227
CD74,-2.220324844,10.71768944,-17.79385898,1.24E-26,9.56E-24,50.33087731
SPIB,-2.943890547,8.62581928,-17.75560504,1.39E-26,9.56E-24,50.20304904
TM4SF4,2.943787108,10.61000084,15.79831048,6.63E-24,4.10E-21,44.0937244
CTSZ,-2.438578992,8.964663472,-15.65005981,1.08E-23,6.06E-21,43.61502558
LAMP3,-2.547464524,7.225403893,-15.43935908,2.16E-23,1.11E-20,42.89936905
HLA-DMB,-2.193237509,6.810172165,-14.39321318,7.40E-22,3.53E-19,39.37330211
NCF1,-2.436200721,7.452283647,-14.33253875,9.13E-22,4.04E-19,39.20696619
CALHM6,-3.34042333,6.399330576,-14.10397339,2.02E-21,8.32E-19,38.34040409
GC,2.715849498,8.315822812,13.78452688,6.17E-21,2.39E-18,37.31545132
HLA-DOB,-1.986349393,6.725620164,-12.84769257,1.77E-19,6.45E-17,33.9944526
CCL20,-2.491126348,8.280517805,-12.48044465,6.80E-19,2.34E-16,32.6477822
HLA-DMA,-2.443614957,6.719884155,-12.33795783,1.15E-18,3.74E-16,32.14676844
SLC12A2,2.190383986,8.606578176,12.3251,1.21E-18,3.74E-16,32.10193035
ONECUT2,1.593116305,9.044200752,11.93644831,5.16E-18,1.52E-15,30.65044927
PLEKHS1,-1.731292166,7.433919039,-11.68677957,1.32E-17,3.72E-15,29.72441571
FXYD2,2.660642904,9.162541208,11.49600172,2.73E-17,7.35E-15,29.01097976
ABCB1,1.834286875,7.770267438,11.40738308,3.83E-17,9.87E-15,28.69816756
CSF2RB,-2.613794678,6.548723623,-11.32013835,5.34E-17,1.32E-14,28.37032238
HNF1B,1.885508344,7.452710272,11.28561344,6.10E-17,1.45E-14,28.23993542
VRK2,-1.458137163,7.605772557,-10.96787649,2.07E-16,4.76E-14,26.99415298
CFTR,1.98981896,9.368807626,10.81262519,3.79E-16,8.37E-14,26.38605353
HLA-F,-1.253431399,8.439783791,-10.58613486,9.16E-16,1.96E-13,25.48340512
BICC1,2.005763839,7.124080544,10.46024193,1.50E-15,3.10E-13,25.08919169
MTCL1,1.919574115,7.20132106,10.36515136,2.18E-15,4.35E-13,24.72296158
PLA1A,-1.544878908,7.458512948,-10.3482238,2.33E-15,4.51E-13,24.5948756
C15orf48,-1.392005473,7.85993289,-10.32245763,2.58E-15,4.84E-13,24.4862742
SOX8,-1.863666775,6.704980272,-10.14576739,5.18E-15,9.43E-13,23.85383561
MIA,-2.349028388,5.525070018,-9.977433302,1.01E-14,1.78E-12,23.21708692
CLDN2,2.367680248,8.182438699,9.91267728,1.31E-14,2.24E-12,22.93317426
MYRF,1.37371015,7.804529117,9.719986067,2.81E-14,4.71E-12,22.15376317
LTF,-2.729077515,7.278675753,-9.70092605,3.04E-14,4.95E-12,22.08088406
ODF3B,1.371173953,8.721346967,9.673876133,3.38E-14,5.37E-12,21.90127504
OGFRL1,-1.384696908,6.981566523,-9.519350292,6.28E-14,9.72E-12,21.37495282
PFKL,1.374724024,7.384021004,9.4997756,6.79E-14,1.03E-11,21.31238054
RBP1,1.276346487,7.77768146,9.431967591,8.92E-14,1.31E-11,21.01952477
RASSF4,-1.484015893,7.49714061,-9.414052132,9.58E-14,1.38E-11,20.92091859
CAV2,1.548787426,7.616485859,9.399310587,1.02E-13,1.43E-11,20.91149432
ELF3,1.966413836,8.123041476,9.388717236,1.06E-13,1.46E-11,20.84552084
SLC2A6,-1.626966101,6.730048947,-9.378789872,1.10E-13,1.49E-11,20.82874628
LGALS2,2.07374111,8.846036475,9.370528861,1.14E-13,1.50E-11,20.72416997
GBP5,-1.787408439,7.664874466,-9.311894671,1.45E-13,1.86E-11,20.47853918
SCTR,1.634803814,7.997488477,9.188074578,2.38E-13,3.01E-11,20.04994502
HABP2,1.468934163,6.954131229,9.071802456,3.81E-13,4.69E-11,19.63747121
COL27A1,1.292016759,7.670217871,9.068082333,3.86E-13,4.69E-11,19.57273477
DCDC2,1.57557039,7.98227739,9.023687452,4.62E-13,5.51E-11,19.39538497
ALCAM,1.54079769,7.343501666,9.017848975,4.74E-13,5.53E-11,19.41202176
SPP1,2.445966165,6.702168168,8.933074503,6.67E-13,7.65E-11,19.11267803
