"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002377","BP","GO:0002377","immunoglobulin production",51,-0.82166960417682,-3.05126403567782,1e-10,1.27144578313253e-08,1.14724159797083e-08,293,"tags=33%, list=5%, signal=32%","SAMHD1/TGFB1/PTPRC/IL27RA/SASH3/CD40/HLA-DOA/HLA-DOB/HLA-DMB/HLA-DMA/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",146,-0.669825065466156,-3.04810400933662,1e-10,1.27144578313253e-08,1.14724159797083e-08,585,"tags=36%, list=9%, signal=33%","TP53BP1/RAET1G/AIRE/CRTAM/IGHM/NECTIN2/LAG3/CYRIB/PRF1/KLRC2/CD55/CORO1A/SH2D1A/KLRK1/NKG7/SMAD7/VAV1/TRBC1/TGFB1/CD8A/PTPRC/HAVCR2/C3/CD96/BTN3A3/ICAM1/HLA-A/IL27RA/ULBP1/CTSH/SASH3/HLA-B/HLA-G/CD40/SLAMF6/RFTN1/HLA-F/HLA-DOA/GZMB/HLA-DOB/C4BPA/HLA-DMB/CD74/HLA-DMA/CSF2RB/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",149,-0.651430806892717,-2.97345927609714,1e-10,1.27144578313253e-08,1.14724159797083e-08,323,"tags=26%, list=5%, signal=25%","SMAD7/SEMA4A/RELB/TRBC1/TGFB1/CD8A/PTPRC/HAVCR2/C3/CD4/JAK3/BTN3A3/TNFAIP3/ICAM1/HLA-A/IL27RA/CTSH/SASH3/HLA-B/HLA-G/CD40/SLAMF6/RFTN1/HLA-F/HLA-DOA/HLA-DOB/C4BPA/HLA-DMB/CD74/HLA-DMA/CSF2RB/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:0002381","BP","GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response",31,-0.896183605848759,-2.96554031368864,1e-10,1.27144578313253e-08,1.14724159797083e-08,277,"tags=48%, list=4%, signal=46%","TGFB1/PTPRC/IL27RA/CD40/HLA-DOA/HLA-DOB/HLA-DMB/HLA-DMA/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:0019886","BP","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II",20,-0.93688302023744,-2.82949659460788,1e-10,1.27144578313253e-08,1.14724159797083e-08,34,"tags=65%, list=1%, signal=65%","CTSE/HLA-DOA/HLA-DOB/HLA-DMB/CD74/HLA-DMA/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion",128,-0.631719050184869,-2.81883699306853,1e-10,1.27144578313253e-08,1.14724159797083e-08,720,"tags=41%, list=12%, signal=37%","CD47/DUSP10/HSPH1/CCL2/ETS1/SRC/ADAM8/SYK/SELE/IGFBP2/EFNB2/CARD11/CYRIB/FLOT2/SIRPG/RUNX3/CD55/CORO1A/KLRK1/FYN/VAV1/CD3E/PTPRC/HAVCR2/RASAL3/CD4/JAK3/CCDC88B/ITGB2/VSIR/HLA-A/IL27RA/SASH3/CCL5/BTN2A2/ALOX5/VCAM1/JAK2/HLA-G/HLA-DOA/PTAFR/HLA-DOB/HLA-DMB/CD74/HLA-DMA/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:0002708","BP","GO:0002708","positive regulation of lymphocyte mediated immunity",52,-0.743241169704277,-2.7743922935971,1e-10,1.27144578313253e-08,1.14724159797083e-08,585,"tags=48%, list=9%, signal=44%","TP53BP1/RAET1G/CRTAM/NECTIN2/LAG3/CYRIB/KLRC2/CD55/SH2D1A/KLRK1/VAV1/TGFB1/PTPRC/C3/HLA-A/SASH3/HLA-B/HLA-G/CD40/SLAMF6/HLA-F/B2M/HLA-DPB1/HLA-DRB1/HLA-DRA"
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation",116,-0.632188857709943,-2.75952835217703,1e-10,1.27144578313253e-08,1.14724159797083e-08,509,"tags=42%, list=8%, signal=40%","CD5/IL2RA/CD47/DUSP10/HSPH1/CCL2/SRC/ADAM8/SYK/IGFBP2/EFNB2/CARD11/CYRIB/FLOT2/SIRPG/RUNX3/CD55/CORO1A/KLRK1/FYN/VAV1/CD3E/PTPRC/HAVCR2/RASAL3/CD4/JAK3/CCDC88B/VSIR/HLA-A/IL27RA/SASH3/CCL5/BTN2A2/VCAM1/JAK2/HLA-G/HLA-DOA/HLA-DOB/HLA-DMB/CD74/HLA-DMA/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation",159,-0.598009148164938,-2.74485212842592,1e-10,1.27144578313253e-08,1.14724159797083e-08,774,"tags=38%, list=12%, signal=34%","IGHG1/CD5/IL2RA/CD47/DUSP10/IGKC/HSPH1/CCL2/SRC/ADAM8/SYK/TP53BP1/IGFBP2/TOX/IGHM/EFNB2/CARD11/CYRIB/FLOT2/SIRPG/RUNX3/KLRC2/CD55/CORO1A/PELI1/KLRK1/FYN/VAV1/TRBC1/TGFB1/CD3E/PTPRC/HAVCR2/RASAL3/CD4/JAK3/CCDC88B/VSIR/HLA-A/IL27RA/SASH3/CCL5/BTN2A2/CDKN1A/VCAM1/JAK2/HLA-G/CD40/HLA-F/HLA-DOA/HLA-DOB/HLA-DMB/CD74/HLA-DMA/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
"GO:0002503","BP","GO:0002503","peptide antigen assembly with MHC class II protein complex",11,-0.996440705387478,-2.57833637537456,1e-10,1.27144578313253e-08,1.14724159797083e-08,34,"tags=100%, list=1%, signal=100%","HLA-DOB/HLA-DMB/HLA-DMA/B2M/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DPA1/HLA-DQA1/HLA-DRA"
